DateTime,Time Offset,SEM ID,ECG heart rate,HR Confidence,Belt Breathing rate,Breathing rate confidence,Lead off,Belt off,Skin temperature (IR),Body position,Ambulation,PWI,Event Count
8/12/2013 07:15:16.453,2959,01312035 EQ-02,234,34,24.7,66,0,1,32.4,Upright,MovingSlowly,Blue,0,
8/12/2013 07:15:31.453,2974,01312035 EQ-02,218,37,25,86,0,1,31.7,Upright,Stationary,Blue,0,
8/12/2013 07:15:46.453,2989,01312035 EQ-02,204,28,23.1,90,0,1,31.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:16:01.453,3004,01312035 EQ-02,216,27,21.8,90,0,1,31.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:16:16.453,3019,01312035 EQ-02,204,26,17.7,81,0,1,32.1,Upright,Stationary,Blue,0,
8/12/2013 07:16:31.453,3034,01312035 EQ-02,194,31,16.8,74,0,1,32.4,Upright,MovingSlowly,Blue,0,
8/12/2013 07:16:46.453,3049,01312035 EQ-02,202,32,18.2,67,0,1,32,Upright,MovingSlowly,Blue,0,
8/12/2013 07:17:01.453,3064,01312035 EQ-02,194,30,18.3,72,0,1,31.6,Upright,Stationary,Blue,0,
8/12/2013 07:17:16.453,3079,01312035 EQ-02,150,28,19.5,81,0,1,31.7,Upright,Stationary,Blue,0,
8/12/2013 07:17:31.453,3094,01312035 EQ-02,141.3,33,19,85,0,1,31.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:17:46.453,3109,01312035 EQ-02,175.7,45,18.5,85,0,1,32.1,Upright,Stationary,Blue,0,
8/12/2013 07:18:01.453,3124,01312035 EQ-02,155.4,35,16.3,85,0,1,31.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:18:16.453,3139,01312035 EQ-02,170,20,15.5,78,0,1,31.7,Upright,Stationary,Blue,0,
8/12/2013 07:18:31.453,3154,01312035 EQ-02,234,45,17,78,0,1,32.3,Upright,MovingSlowly,Blue,0,
8/12/2013 07:18:46.453,3169,01312035 EQ-02,208,36,19,85,0,1,32.3,Upright,MovingSlowly,Blue,0,
8/12/2013 07:19:01.453,3184,01312035 EQ-02,162,12,18.7,85,0,1,32.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:19:16.453,3199,01312035 EQ-02,165.5,32,16.2,89,0,1,32.3,Upright,MovingSlowly,Blue,0,
